trial,word_target,nonword_target,related_semantic_prime,related_phonological_prime,unrelated_prime
1,mice,gorp,rat,nice,girl
2,men,wug,women,met,rock
3,ten,minsel,number,pen,fork
4,glue,yetts,stick,shoe,neck
5,milk,leets,cow,mill,office
6,bed,crode,pillow,head,jury
7,toy,skude,doll,joy,wood
8,cat,thelts,kitten,hat,stress
9,bike,rhoule,helmet,hike,marsh
10,coat,sune,jacket,boat,devil
11,plant,smage,tree,plan,nose
12,net,granch,trap,bet,bench
13,nut,cempt,seed,gut,bag
14,shoe,dreil,boot,she,glass
15,plane,claised,jet,lane,baby
16,root,neats,stem,shoot,marsh
17,lunch,woin,food,hunch,tram
18,pain,belk,injury,gain,sofa
19,chair,mool,bench,hair,nail
20,mood,jounge,emotion,food,fire